group,subject,item,expected
CB,CB_12,7,1
CB,CB_12,8,1
CB,CB_12,9,0
CB,CB_12,10,1
CB,CB_12,11,0
CB,CB_12,12,1
CB,CB_12,13,1
CB,CB_12,14,1
CB,CB_12,15,0
CB,CB_12,16,0
CB,CB_12,17,1
CB,CB_12,18,0
CB,CB_12,19,0
CB,CB_12,20,0
CB,CB_12,21,1
CB,CB_12,22,0
CB,CB_12,23,0
CB,CB_12,24,0
CB,CB_12,25,1
CB,CB_12,26,1
CB,CB_12,27,1
CB,CB_12,28,0
CB,CB_12,29,0
CB,CB_12,30,1
CB,CB_12,31,1
CB,CB_12,32,1
CB,CB_12,33,0
CB,CB_12,34,0
CB,CB_12,35,1
CB,CB_12,36,0
CB,CB_12,37,1
CB,CB_13,1,0
CB,CB_13,2,0
CB,CB_13,3,1
CB,CB_13,4,1
CB,CB_13,5,1
CB,CB_13,6,1
CB,CB_13,7,1
CB,CB_13,8,0
CB,CB_13,9,1
CB,CB_13,10,1
CB,CB_13,11,1
CB,CB_13,12,1
CB,CB_13,13,1
CB,CB_13,14,1
CB,CB_13,15,1
CB,CB_13,16,0
CB,CB_13,17,0
CB,CB_13,18,0
CB,CB_13,19,0
CB,CB_13,20,1
CB,CB_13,21,1
CB,CB_13,22,1
CB,CB_13,23,0
CB,CB_13,24,1
CB,CB_13,25,1
CB,CB_13,26,1
CB,CB_13,27,1
CB,CB_13,28,1
CB,CB_13,29,1
CB,CB_13,30,1
CB,CB_13,31,0
CB,CB_13,32,1
CB,CB_13,33,0
CB,CB_13,34,1
CB,CB_13,35,1
CB,CB_13,36,0
CB,CB_13,37,1
CB,CB_14,1,0
CB,CB_14,2,1
CB,CB_14,4,0
CB,CB_14,5,1
CB,CB_14,6,0
CB,CB_14,7,1
CB,CB_14,8,1
CB,CB_14,9,0
CB,CB_14,10,0
CB,CB_14,11,0
CB,CB_14,12,0
CB,CB_14,13,1
CB,CB_14,14,0
CB,CB_14,15,0
CB,CB_14,16,0
CB,CB_14,17,0
CB,CB_14,18,1
CB,CB_14,19,1
CB,CB_14,20,1
CB,CB_14,21,0
CB,CB_14,22,1
CB,CB_14,23,1
CB,CB_14,24,1
CB,CB_14,25,1
CB,CB_14,26,1
CB,CB_14,27,1
CB,CB_14,28,1
CB,CB_14,29,0
CB,CB_14,30,1
CB,CB_14,31,1
CB,CB_14,32,0
CB,CB_14,33,1
CB,CB_14,34,0
CB,CB_14,35,0
CB,CB_14,36,0
CB,CB_14,37,0
CB,CB_15,1,1
CB,CB_15,2,1
CB,CB_15,3,1
CB,CB_15,4,1
CB,CB_15,5,1
CB,CB_15,6,0
CB,CB_15,7,1
CB,CB_15,8,0
CB,CB_15,9,1
CB,CB_15,10,0
CB,CB_15,11,1
CB,CB_15,12,0
CB,CB_15,13,1
CB,CB_15,14,1
CB,CB_15,15,0
CB,CB_15,16,1
CB,CB_15,17,0
CB,CB_15,18,0
CB,CB_15,19,1
CB,CB_15,20,0
CB,CB_15,21,0
CB,CB_15,22,0
CB,CB_15,23,0
CB,CB_15,24,0
CB,CB_15,25,0
CB,CB_16,1,0
CB,CB_16,2,0
CB,CB_16,3,0
CB,CB_16,4,1
CB,CB_16,5,0
CB,CB_16,6,1
CB,CB_16,7,0
CB,CB_16,8,0
CB,CB_16,9,0
CB,CB_16,10,0
CB,CB_16,11,0
CB,CB_16,12,1
CB,CB_16,13,0
CB,CB_16,14,0
CB,CB_16,15,0
CB,CB_16,16,0
CB,CB_16,17,0
CB,CB_16,18,0
CB,CB_16,19,1
CB,CB_16,20,0
CB,CB_16,21,0
CB,CB_16,22,0
CB,CB_16,23,0
CB,CB_16,24,1
CB,CB_16,25,1
CB,CB_16,26,1
CB,CB_16,27,1
CB,CB_16,28,1
CB,CB_16,29,0
CB,CB_16,30,1
CB,CB_16,31,0
CB,CB_16,32,1
CB,CB_16,33,0
CB,CB_16,34,0
CB,CB_16,35,0
CB,CB_16,36,0
CB,CB_16,37,1
CB,CB_17,1,0
CB,CB_17,2,1
CB,CB_17,3,0
CB,CB_17,4,1
CB,CB_17,5,1
CB,CB_17,6,1
CB,CB_17,7,1
CB,CB_17,8,0
CB,CB_17,9,0
CB,CB_17,10,0
CB,CB_17,11,1
CB,CB_17,12,0
CB,CB_17,13,1
CB,CB_17,14,1
CB,CB_17,15,0
CB,CB_17,16,0
CB,CB_17,17,0
CB,CB_17,18,1
CB,CB_17,19,0
CB,CB_17,20,0
CB,CB_17,21,0
CB,CB_17,22,0
CB,CB_17,23,1
CB,CB_17,24,0
CB,CB_17,25,0
CB,CB_18,1,1
CB,CB_18,2,1
CB,CB_18,4,1
CB,CB_18,5,1
CB,CB_18,6,1
CB,CB_18,7,1
CB,CB_18,8,0
CB,CB_18,9,1
CB,CB_18,10,0
CB,CB_18,11,0
CB,CB_18,12,0
CB,CB_18,13,1
CB,CB_18,14,1
CB,CB_18,15,0
CB,CB_18,16,1
CB,CB_18,17,1
CB,CB_18,18,0
CB,CB_18,19,1
CB,CB_18,20,1
CB,CB_18,21,0
CB,CB_18,22,0
CB,CB_18,23,1
CB,CB_18,24,0
CB,CB_18,25,1
CB,CB_18,26,1
CB,CB_18,27,1
CB,CB_18,28,0
CB,CB_18,29,1
CB,CB_18,30,1
CB,CB_18,31,1
CB,CB_18,32,1
CB,CB_18,33,1
CB,CB_18,34,1
CB,CB_18,35,0
CB,CB_18,36,1
CB,CB_18,37,1
CB,CB_19,1,0
CB,CB_19,2,1
CB,CB_19,3,0
CB,CB_19,4,0
CB,CB_19,5,0
CB,CB_19,6,0
CB,CB_19,7,1
CB,CB_19,8,0
CB,CB_19,9,0
CB,CB_19,10,1
CB,CB_19,11,0
CB,CB_19,12,0
CB,CB_19,13,1
CB,CB_19,14,0
CB,CB_19,15,1
CB,CB_19,16,1
CB,CB_19,17,0
CB,CB_19,18,1
CB,CB_19,19,0
CB,CB_19,20,1
CB,CB_19,21,0
CB,CB_19,22,0
CB,CB_19,23,1
CB,CB_19,24,0
CB,CB_19,25,1
CB,CB_19,26,1
CB,CB_19,27,0
CB,CB_19,28,0
CB,CB_19,29,0
CB,CB_19,30,1
CB,CB_19,31,0
CB,CB_19,32,1
CB,CB_19,33,1
CB,CB_19,34,0
CB,CB_19,35,0
